Year,Model,Total_Price(RM),Price_per_month(RM),Mileage(km),Transmission,Location,Highlight,URL,Brand
2018,accord i-vtec vti-l 2.0,73000.0,802.0,133390.0,A,"carsome pj automall, selangor 14,748.1 km
          away",executive,https://www.carsome.my/buy-car/honda/accord/2018-honda-accord-i-vtec-vti-l-2.0/c3aj400,Honda
2018,vios e 1.5,52400.0,552.0,125481.0,A,"carsome showroom kuala terengganu, terengganu 14,461.7 km
          away",daily drive,https://www.carsome.my/buy-car/toyota/vios/2018-toyota-vios-e-1.5/chkj400,Toyota
2018,bezza x premium 1.3,34400.0,413.0,105738.0,A,"carsome showroom kota kinabalu, sabah 10,512.9 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/bezza/2018-perodua-bezza-x-premium-1.3/czfk400,Perodua
2018,axia g 1.0,28000.0,316.0,108025.0,A,"carsome pj automall, selangor 14,748.1 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/axia/2018-perodua-axia-g-1.0/c9ej400,Perodua
2020,axia gxtra 1.0,32400.0,342.0,90029.0,A,"carsome showroom juru autocity, pulau pinang 14,549.9 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/axia/2020-perodua-axia-gxtra-1.0/cwbl400,Perodua
2017,br-v v i-vtec 1.5,45000.0,544.0,137754.0,A,"carsome pj automall, selangor 14,748.1 km
          away",family drive,https://www.carsome.my/buy-car/honda/br-v/2017-honda-br-v-v-i-vtec-1.5/c6gk400,Honda
2020,saga premium 1.3,30800.0,290.0,49019.0,A,"carsome showroom kuching, sarawak 14,543.4 km
          away",national daily drive,https://www.carsome.my/buy-car/proton/saga/2020-proton-saga-premium-1.3/cg3m400,Proton
2019,axia g 1.0,29400.0,294.0,108661.0,A,"carsome showroom kuala terengganu, terengganu 14,461.7 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/axia/2019-perodua-axia-g-1.0/c7jm400,Perodua
2018,myvi h 1.5,40900.0,443.0,90895.0,A,"carsome showroom melaka, melaka 14,822.0 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2018-perodua-myvi-h-1.5/cthl400,Perodua
2018,axia g 1.0,28400.0,322.0,68118.0,A,"carsome showroom melaka, melaka 14,822.0 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/axia/2018-perodua-axia-g-1.0/cxjl400,Perodua
2022,ativa av 1.0,62100.0,622.0,50865.0,A,"carsome showroom kuantan avenue, pahang 14,612.7 km
          away",compact suv,https://www.carsome.my/buy-car/perodua/ativa/2022-perodua-ativa-av-1.0/cgxl400,Perodua
2023,city v i-vtec 1.5,77400.0,809.0,28814.0,A,"carsome showroom kuching, sarawak 14,543.4 km
          away",daily drive,https://www.carsome.my/buy-car/honda/city/2023-honda-city-v-i-vtec-1.5/catm400,Honda
2020,bezza g 1.0,32500.0,356.0,90270.0,A,"carsome showroom setiawangsa, kuala lumpur 14,736.0 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/bezza/2020-perodua-bezza-g-1.0/cb2m400,Perodua
2018,vios g 1.5,52400.0,598.0,100907.0,A,"carsome showroom seremban oakland, negeri sembilan 14,780.1 km
          away",daily drive,https://www.carsome.my/buy-car/toyota/vios/2018-toyota-vios-g-1.5/codm400,Toyota
2016,accord i-vtec vti-l 2.0,59800.0,676.0,131511.0,A,"carsome pj automall, selangor 14,748.1 km
          away",executive,https://www.carsome.my/buy-car/honda/accord/2016-honda-accord-i-vtec-vti-l-2.0/cs7m400,Honda
2019,serena s-hybrid high-way star 2.0,81800.0,842.0,101015.0,A,"carsome showroom ipoh, perak 14,609.1 km
          away",family drive,https://www.carsome.my/buy-car/nissan/serena/2019-nissan-serena-s-hybrid-high-way-star-2.0/cixm400,Nissan
2020,bezza x 1.3,39800.0,436.0,70214.0,A,"carsome showroom sitiawan, perak 14,662.1 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/bezza/2020-perodua-bezza-x-1.3/cvxm400,Perodua
2018,axia g 1.0,28000.0,310.0,113321.0,A,"carsome showroom kuantan avenue, pahang 14,612.7 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/axia/2018-perodua-axia-g-1.0/cxbm400,Perodua
2020,axia gxtra 1.0,32400.0,355.0,80381.0,A,"carsome showroom kuantan avenue, pahang 14,612.7 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/axia/2020-perodua-axia-gxtra-1.0/cu2o400,Perodua
2016,vios e 1.5,43900.0,596.0,144151.0,A,"carsome showroom sitiawan, perak 14,662.1 km
          away",daily drive,https://www.carsome.my/buy-car/toyota/vios/2016-toyota-vios-e-1.5/cwxm400,Toyota
2014,sylphy vl 1.8,30400.0,413.0,117896.0,A,"carsome showroom alor setar, kedah 14,468.6 km
          away",upgrade daily drive,https://www.carsome.my/buy-car/nissan/sylphy/2014-nissan-sylphy-vl-1.8/csnk400,Nissan
2019,br-v e i-vtec 1.5,49000.0,537.0,117664.0,A,"carsome showroom cheras, selangor 14,747.6 km
          away",family drive,https://www.carsome.my/buy-car/honda/br-v/2019-honda-br-v-e-i-vtec-1.5/c3dl400,Honda
2021,x70 tgdi executive 1.8,63900.0,700.0,68593.0,A,"carsome showroom kuantan avenue, pahang 14,612.7 km
          away",compact suv,https://www.carsome.my/buy-car/proton/x70/2021-proton-x70-tgdi-executive-1.8/cl9n400,Proton
