Year,Model,Total_Price,Price_per_month,Mileage,Transmission,Location,Highlight,URL
2020,Honda HR-V i-VTEC E 1.8,"RM
          67,900",RM 732,"82,564 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/hr-v/2020-honda-hr-v-i-vtec-e-1.8/cf41500
2022,Honda Civic S i-VTEC 1.8,"RM
          84,800",RM 929,"68,424 km",Automatic,"CARSOME Showroom Kota Bharu, Kelantan 14,408.9 km
          away",Upgrade Daily Drive,https://www.carsome.my/buy-car/honda/civic/2022-honda-civic-s-i-vtec-1.8/ckr1500
2019,Honda City E i-VTEC 1.5,"RM
          54,400",RM 596,"113,865 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",Daily Drive,https://www.carsome.my/buy-car/honda/city/2019-honda-city-e-i-vtec-1.5/cu0z400
2022,Mitsubishi Xpander 1.5,"RM
          74,400",RM 815,"59,938 km",Automatic,"CARSOME Showroom AEON BiG Kepong, Kuala Lumpur 14,735.7 km
          away",Family Drive,https://www.carsome.my/buy-car/mitsubishi/xpander/2022-mitsubishi-xpander--1.5/czw1500
2015,Perodua Myvi G 1.3,"RM
          24,900",RM 338,"168,386 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2015-perodua-myvi-g-1.3/cv92500
2023,Honda Accord TC Premium 1.5,"RM
          145,000","RM 1,589","31,225 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/honda/accord/2023-honda-accord-tc-premium-1.5/cu25500
2020,Perodua Aruz X 1.5,"RM
          52,900",RM 557,"85,101 km",Automatic,"CARSOME Showroom Kota Kinabalu, Sabah 13,814.5 km
          away",Family Drive,https://www.carsome.my/buy-car/perodua/aruz/2020-perodua-aruz-x-1.5/cx71500
2022,Honda City V i-VTEC 1.5,"RM
          73,900",RM 810,"24,367 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/honda/city/2022-honda-city-v-i-vtec-1.5/c3h6500
2021,Perodua Ativa AV 1.0,"RM
          61,400",RM 644,"72,321 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",Compact SUV,https://www.carsome.my/buy-car/perodua/ativa/2021-perodua-ativa-av-1.0/cz4z400
2022,Proton X50 Executive 1.5,"RM
          66,900",RM 733,"47,456 km",Automatic,"CARSOME Showroom Chan Sow Lin, Kuala Lumpur 14,744.2 km
          away",Compact SUV,https://www.carsome.my/buy-car/proton/x50/2022-proton-x50-executive-1.5/cpt3500
2020,Honda HR-V i-VTEC V 1.8,"RM
          76,400",RM 798,"99,635 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/hr-v/2020-honda-hr-v-i-vtec-v-1.8/cvy0500
2014,Honda Accord i-VTEC 2.4,"RM
          39,900",RM 542,"184,684 km",Automatic,"CARSOME Showroom Seremban Oakland, Negeri Sembilan 14,780.1 km
          away",Executive,https://www.carsome.my/buy-car/honda/accord/2014-honda-accord-i-vtec-2.4/cy70500
2018,Peugeot 3008 THP Allure 1.6,"RM
          49,400",RM 593,"51,193 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",Compact SUV,https://www.carsome.my/buy-car/peugeot/3008/2018-peugeot-3008-thp-allure-1.6/c084500
2015,Honda City E i-VTEC 1.5,"RM
          38,000",RM 516,"91,188 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",Daily Drive,https://www.carsome.my/buy-car/honda/city/2015-honda-city-e-i-vtec-1.5/cf84500
2014,Proton Saga SV 1.3,"RM
          14,000",RM 190,"135,949 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2014-proton-saga-sv-1.3/cuz5500
2015,Perodua Myvi Advance 1.5,"RM
          33,000",RM 448,"173,475 km",Automatic,"CARSOME Showroom Seremban Oakland, Negeri Sembilan 14,780.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2015-perodua-myvi-advance-1.5/cqi1500
2023,Mitsubishi Xpander 1.5,"RM
          79,800",RM 874,"44,292 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Family Drive,https://www.carsome.my/buy-car/mitsubishi/xpander/2023-mitsubishi-xpander--1.5/cto4500
2017,Perodua Bezza Advance Premium 1.3,"RM
          33,900",RM 452,"71,771 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/bezza/2017-perodua-bezza-advance-premium-1.3/c0p2500
2019,Honda HR-V i-VTEC V 1.8,"RM
          70,000",RM 756,"63,255 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/hr-v/2019-honda-hr-v-i-vtec-v-1.8/ciz1500
2015,Honda City E i-VTEC 1.5,"RM
          37,400",RM 508,"159,363 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",-,https://www.carsome.my/buy-car/honda/city/2015-honda-city-e-i-vtec-1.5/coj5500
2020,Perodua Myvi AV 1.5,"RM
          46,600",RM 502,"61,392 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",-,https://www.carsome.my/buy-car/perodua/myvi/2020-perodua-myvi-av-1.5/cgp6500
2023,Perodua Ativa AV 1.0,"RM
          63,900",RM 689,"40,182 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Compact SUV,https://www.carsome.my/buy-car/perodua/ativa/2023-perodua-ativa-av-1.0/cps5500
2019,Perodua Aruz AV 1.5,"RM
          51,000",RM 550,"101,410 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",-,https://www.carsome.my/buy-car/perodua/aruz/2019-perodua-aruz-av-1.5/cos5500
2023,Perodua Aruz AV 1.5,"RM
          62,400",RM 684,"47,541 km",Automatic,"CARSOME Showroom Chan Sow Lin, Kuala Lumpur 14,744.2 km
          away",Family Drive,https://www.carsome.my/buy-car/perodua/aruz/2023-perodua-aruz-av-1.5/cz53500
2014,Kia Picanto 1.2,"RM
          20,500",RM 278,"122,640 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",Daily Drive,https://www.carsome.my/buy-car/kia/picanto/2014-kia-picanto--1.2/cdc6500
2017,Volkswagen Passat 380 TSI Highline 2.0,"RM
          65,400",RM 872,"120,982 km",Automatic,"CARSOME Showroom Chan Sow Lin, Kuala Lumpur 14,744.2 km
          away",Executive,https://www.carsome.my/buy-car/volkswagen/passat/2017-volkswagen-passat-380-tsi-highline-2.0/c0a4500
2017,Perodua Bezza X Premium 1.3,"RM
          31,900",RM 426,"58,818 km",Automatic,"CARSOME Showroom Kota Bharu, Kelantan 14,408.9 km
          away",-,https://www.carsome.my/buy-car/perodua/bezza/2017-perodua-bezza-x-premium-1.3/cnm6500
2015,Perodua Myvi X 1.3,"RM
          25,900",RM 352,"164,118 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2015-perodua-myvi-x-1.3/ce96500
2014,Toyota Vios E 1.5,"RM
          36,900",RM 501,"58,059 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",-,https://www.carsome.my/buy-car/toyota/vios/2014-toyota-vios-e-1.5/c9k6500
2019,Kia Grand Carnival KX CRDi 2.2,"RM
          96,000","RM 1,052","83,189 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",-,https://www.carsome.my/buy-car/kia/grand-carnival/2019-kia-grand-carnival-kx-crdi-2.2/cej6500
2022,BMW 218i M Sport 1.5,"RM
          133,000","RM 1,457","14,865 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Luxury,https://www.carsome.my/buy-car/bmw/218i/2022-bmw-218i-m-sport-1.5/cw20500
2022,Perodua Ativa AV 1.0,"RM
          62,600",RM 679,"46,646 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/perodua/ativa/2022-perodua-ativa-av-1.0/czg7500
2024,Honda HR-V e:HEV RS 1.5,"RM
          118,900","RM 1,303","18,575 km",Automatic,"CARSOME Showroom Chan Sow Lin, Kuala Lumpur 14,744.2 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/honda/hr-v/2024-honda-hr-v-e-hev-rs-1.5/c287500
2020,Proton X50 TGDI Flagship 1.5,"RM
          69,900",RM 766,"53,661 km",Automatic,"CARSOME Showroom Kota Kinabalu, Sabah 13,814.5 km
          away",-,https://www.carsome.my/buy-car/proton/x50/2020-proton-x50-tgdi-flagship-1.5/c9v6500
2016,Honda Civic TC VTEC Premium 1.5,"RM
          74,900","RM 1,000","124,985 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",Upgrade Daily Drive,https://www.carsome.my/buy-car/honda/civic/2016-honda-civic-tc-vtec-premium-1.5/cqa2500
2017,Honda HR-V i-VTEC E 1.8,"RM
          51,400",RM 686,"120,187 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/hr-v/2017-honda-hr-v-i-vtec-e-1.8/cch0500
2018,Perodua Myvi X 1.3,"RM
          36,400",RM 431,"96,785 km",Automatic,"CARSOME Showroom Kuala Terengganu, Terengganu 14,461.7 km
          away",-,https://www.carsome.my/buy-car/perodua/myvi/2018-perodua-myvi-x-1.3/c2b6500
2017,Honda Jazz E i-VTEC 1.5,"RM
          50,400",RM 672,"81,759 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",-,https://www.carsome.my/buy-car/honda/jazz/2017-honda-jazz-e-i-vtec-1.5/cql6500
2017,Perodua AXIA Advance 1.0,"RM
          29,400",RM 387,"118,007 km",Automatic,"CARSOME Showroom Temerloh, Pahang 14,682.9 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2017-perodua-axia-advance-1.0/c2r3500
2020,Toyota Yaris E 1.5,"RM
          58,400",RM 633,"61,452 km",Automatic,"CARSOME Showroom Temerloh, Pahang 14,682.9 km
          away",-,https://www.carsome.my/buy-car/toyota/yaris/2020-toyota-yaris-e-1.5/cns6500
2020,Proton Persona Executive 1.6,"RM
          32,400",RM 355,"80,922 km",Automatic,"CARSOME Showroom Chan Sow Lin, Kuala Lumpur 14,744.2 km
          away",-,https://www.carsome.my/buy-car/proton/persona/2020-proton-persona-executive-1.6/c8m5500
2020,Proton Saga Premium 1.3,"RM
          31,300",RM 343,"70,301 km",Automatic,"CARSOME Showroom Temerloh, Pahang 14,682.9 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2020-proton-saga-premium-1.3/c2f4500
2017,Perodua AXIA G 1.0,"RM
          27,900",RM 365,"66,469 km",Automatic,"CARSOME Showroom AEON BiG Kepong, Kuala Lumpur 10,512.9 km
          away",-,https://www.carsome.my/buy-car/perodua/axia/2017-perodua-axia-g-1.0/crl7500
2018,Nissan X-Trail 2.0,"RM
          49,900",RM 599,"129,940 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",Family Drive,https://www.carsome.my/buy-car/nissan/x-trail/2018-nissan-x-trail--2.0/cwm2500
2021,Toyota Vios G 1.5,"RM
          67,400",RM 739,"56,062 km",Automatic,"CARSOME Showroom Kota Bharu, Kelantan 14,408.9 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/toyota/vios/2021-toyota-vios-g-1.5/cjq5500
2015,Perodua AXIA Advance 1.0,"RM
          24,600",RM 334,"164,850 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2015-perodua-axia-advance-1.0/cnwz400
2017,Proton Persona Premium 1.6,"RM
          28,400",RM 379,"122,825 km",Automatic,"CARSOME Showroom AEON BiG Kepong, Kuala Lumpur 10,512.9 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/persona/2017-proton-persona-premium-1.6/cgl1500
2019,Proton X70 TGDI Premium 1.8,"RM
          55,400",RM 592,"97,176 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",-,https://www.carsome.my/buy-car/proton/x70/2019-proton-x70-tgdi-premium-1.8/cj56500
2019,Proton Persona Premium 1.6,"RM
          32,400",RM 355,"103,598 km",Automatic,"CARSOME Showroom AEON BiG Kepong, Kuala Lumpur 10,512.9 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/persona/2019-proton-persona-premium-1.6/cq83500
2023,Proton Saga Premium S 1.3,"RM
          37,000",RM 405,"18,177 km",Automatic,"CARSOME Showroom AEON BiG Kepong, Kuala Lumpur 14,735.7 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/proton/saga/2023-proton-saga-premium-s-1.3/cce7500
2019,Proton Saga Premium 1.3,"RM
          30,400",RM 305,"78,551 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2019-proton-saga-premium-1.3/caz3500
2023,Proton Saga Standard 1.3,"RM
          31,300",RM 343,"34,218 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2023-proton-saga-standard-1.3/c1i6500
2021,Perodua Ativa AV 1.0,"RM
          61,400",RM 644,"58,605 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",Compact SUV,https://www.carsome.my/buy-car/perodua/ativa/2021-perodua-ativa-av-1.0/ctg6500
2018,Perodua Myvi H 1.5,"RM
          39,900",RM 464,"125,414 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",-,https://www.carsome.my/buy-car/perodua/myvi/2018-perodua-myvi-h-1.5/cso6500
2017,Perodua Bezza Advance Premium 1.3,"RM
          33,900",RM 452,"95,382 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/bezza/2017-perodua-bezza-advance-premium-1.3/ccgz400
2015,Toyota Estima Aeras 2.4,"RM
          92,900","RM 1,262","147,494 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",-,https://www.carsome.my/buy-car/toyota/estima/2015-toyota-estima-aeras-2.4/cfl5500
2022,Proton Saga Premium 1.3,"RM
          33,300",RM 365,"11,706 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2022-proton-saga-premium-1.3/cdw5500
2018,Perodua AXIA SE 1.0,"RM
          30,900",RM 350,"86,825 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",-,https://www.carsome.my/buy-car/perodua/axia/2018-perodua-axia-se-1.0/cy97500
2018,Proton Saga Standard 1.3,"RM
          24,900",RM 299,"116,244 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2018-proton-saga-standard-1.3/cly1500
2020,Proton Persona Executive 1.6,"RM
          32,900",RM 361,"59,941 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/persona/2020-proton-persona-executive-1.6/cb25500
2014,Perodua AXIA Advance 1.0,"RM
          23,000",RM 312,"141,050 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2014-perodua-axia-advance-1.0/c5n3500
2014,Proton Persona Elegance Medium line 1.6,"RM
          16,900",RM 230,"208,416 km",Automatic,"CARSOME Showroom AEON BiG Kepong, Kuala Lumpur 10,512.9 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/persona/2014-proton-persona-elegance-medium-line-1.6/csu3500
2013,Honda Civic S i-VTEC 1.8,"RM
          40,800",RM 597,"198,626 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",Upgrade Daily Drive,https://www.carsome.my/buy-car/honda/civic/2013-honda-civic-s-i-vtec-1.8/chpz400
2015,Perodua Alza SE 1.5,"RM
          33,400",RM 454,"110,606 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",-,https://www.carsome.my/buy-car/perodua/alza/2015-perodua-alza-se-1.5/cin6500
2020,BMW 218i M Sport 1.5,"RM
          113,000","RM 1,238","73,050 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Luxury,https://www.carsome.my/buy-car/bmw/218i/2020-bmw-218i-m-sport-1.5/cwqs400
2017,Honda HR-V i-VTEC V 1.8,"RM
          56,000",RM 747,"141,252 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",-,https://www.carsome.my/buy-car/honda/hr-v/2017-honda-hr-v-i-vtec-v-1.8/cuh7500
2022,Perodua Ativa AV 1.0,"RM
          62,600",RM 679,"36,834 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/perodua/ativa/2022-perodua-ativa-av-1.0/ci88500
2018,Toyota Hilux L-Edition Dual Cab 2.4,"RM
          89,900","RM 1,079","116,076 km",Automatic,"CARSOME Showroom AEON BiG Kepong, Kuala Lumpur 14,735.7 km
          away",Adventure,https://www.carsome.my/buy-car/toyota/hilux/2018-toyota-hilux-l-edition-dual-cab-2.4/c2t2500
2019,Peugeot 3008 THP Allure 1.6,"RM
          55,000",RM 603,"67,251 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",-,https://www.carsome.my/buy-car/peugeot/3008/2019-peugeot-3008-thp-allure-1.6/c5v7500
2013,Nissan Almera E 1.5,"RM
          18,900",RM 276,"104,951 km",Automatic,"CARSOME Showroom Kempas, Johor 14,839.0 km
          away",Daily Drive,https://www.carsome.my/buy-car/nissan/almera/2013-nissan-almera-e-1.5/cb54500
2019,Proton Persona Standard 1.6,"RM
          29,400",RM 322,"59,824 km",Automatic,"CARSOME Showroom Johor Jaya, Johor 14,832.8 km
          away",-,https://www.carsome.my/buy-car/proton/persona/2019-proton-persona-standard-1.6/c8o7500
2023,Perodua Bezza X 1.3,"RM
          41,800",RM 458,"36,816 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",-,https://www.carsome.my/buy-car/perodua/bezza/2023-perodua-bezza-x-1.3/cqv6500
2019,Honda HR-V i-VTEC RS 1.8,"RM
          75,000",RM 822,"106,208 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",-,https://www.carsome.my/buy-car/honda/hr-v/2019-honda-hr-v-i-vtec-rs-1.8/csc7500
2023,Toyota Vios G 1.5,"RM
          78,900",RM 865,"33,569 km",Automatic,"CARSOME Showroom Kempas, Johor 14,839.0 km
          away",Daily Drive,https://www.carsome.my/buy-car/toyota/vios/2023-toyota-vios-g-1.5/cjt1500
2016,Mitsubishi ASX 2.0,"RM
          41,900",RM 569,"104,189 km",Automatic,"CARSOME Showroom Kempas, Johor 14,839.0 km
          away",Compact SUV,https://www.carsome.my/buy-car/mitsubishi/asx/2016-mitsubishi-asx--2.0/cg13500
2023,Perodua Aruz AV 1.5,"RM
          62,900",RM 689,"24,814 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/perodua/aruz/2023-perodua-aruz-av-1.5/clt6500
2021,Honda HR-V i-VTEC RS 1.8,"RM
          85,900",RM 899,"45,914 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",-,https://www.carsome.my/buy-car/honda/hr-v/2021-honda-hr-v-i-vtec-rs-1.8/c5v5500
2018,Perodua Myvi AV 1.5,"RM
          42,600",RM 511,"124,624 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",-,https://www.carsome.my/buy-car/perodua/myvi/2018-perodua-myvi-av-1.5/cny6500
2018,Perodua AXIA G 1.0,"RM
          28,400",RM 336,"91,232 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",-,https://www.carsome.my/buy-car/perodua/axia/2018-perodua-axia-g-1.0/ce58500
2019,Honda City V i-VTEC 1.5,"RM
          58,000",RM 636,"102,215 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",Daily Drive,https://www.carsome.my/buy-car/honda/city/2019-honda-city-v-i-vtec-1.5/crt3500
2018,Honda CR-V TC-P VTEC 1.5,"RM
          90,400","RM 1,066","84,056 km",Automatic,"CARSOME Showroom AEON BiG Kepong, Kuala Lumpur 14,735.7 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/cr-v/2018-honda-cr-v-tc-p-vtec-1.5/cqi5500
2022,Honda City V i-VTEC 1.5,"RM
          72,400",RM 793,"51,994 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/honda/city/2022-honda-city-v-i-vtec-1.5/cgc9500
2023,Proton X90 Flagship 1.5,"RM
          111,900","RM 1,226","22,891 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/proton/x90/2023-proton-x90-flagship-1.5/c5d9500
2019,Proton Persona Premium 1.6,"RM
          32,900",RM 361,"82,155 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",-,https://www.carsome.my/buy-car/proton/persona/2019-proton-persona-premium-1.6/c286500
2013,Perodua Myvi EZi 1.3,"RM
          22,400",RM 328,"112,624 km",Automatic,"CARSOME Showroom AEON BiG Kepong, Kuala Lumpur 14,735.7 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2013-perodua-myvi-ezi-1.3/chl3500
2023,Honda WR-V RS 1.5,"RM
          84,000",RM 920,"41,155 km",Automatic,"CARSOME Showroom Kempas, Johor 14,839.0 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/honda/wr-v/2023-honda-wr-v-rs-1.5/cum6500
2019,Proton Saga Standard 1.3,"RM
          28,000",RM 273,"100,603 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2019-proton-saga-standard-1.3/cys4500
2019,Honda Civic S i-VTEC 1.8,"RM
          74,900",RM 798,"95,466 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",-,https://www.carsome.my/buy-car/honda/civic/2019-honda-civic-s-i-vtec-1.8/cpo6500
2022,Proton Saga Standard 1.3,"RM
          30,300",RM 332,"54,910 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2022-proton-saga-standard-1.3/c5z5500
2018,Proton Saga Standard 1.3,"RM
          25,400",RM 298,"86,520 km",Automatic,"CARSOME Showroom Kempas, Johor 14,839.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2018-proton-saga-standard-1.3/cvsy400
2021,Perodua AXIA Advance 1.0,"RM
          36,900",RM 404,"56,892 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/perodua/axia/2021-perodua-axia-advance-1.0/cld7500
2018,Perodua Myvi AV 1.5,"RM
          42,600",RM 511,"106,358 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2018-perodua-myvi-av-1.5/ctt2500
2016,Perodua Bezza X Premium 1.3,"RM
          28,800",RM 391,"125,076 km",Automatic,"CARSOME Showroom AEON BiG Kepong, Kuala Lumpur 14,735.7 km
          away",-,https://www.carsome.my/buy-car/perodua/bezza/2016-perodua-bezza-x-premium-1.3/c8y5500
2017,Perodua Alza Ez 1.5,"RM
          37,400",RM 499,"124,138 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",Family Drive,https://www.carsome.my/buy-car/perodua/alza/2017-perodua-alza-ez-1.5/chv2500
2018,Subaru XV P 2.0,"RM
          59,800",RM 672,"89,306 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",-,https://www.carsome.my/buy-car/subaru/xv/2018-subaru-xv-p-2.0/clm6500
2014,Proton Saga FLX SE 1.6,"RM
          15,400",RM 209,"135,102 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2014-proton-saga-flx-se-1.6/c724500
2018,Nissan Almera VL 1.5,"RM
          35,800",RM 430,"121,558 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",Daily Drive,https://www.carsome.my/buy-car/nissan/almera/2018-nissan-almera-vl-1.5/cii1500
2017,Proton Saga Standard 1.3,"RM
          20,900",RM 279,"134,702 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2017-proton-saga-standard-1.3/ct34500
2016,Toyota Vios G 1.5,"RM
          48,900",RM 664,"117,255 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",-,https://www.carsome.my/buy-car/toyota/vios/2016-toyota-vios-g-1.5/c027500
2018,Proton Exora Turbo Executive 1.6,"RM
          31,400",RM 377,"109,722 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",Family Drive,https://www.carsome.my/buy-car/proton/exora/2018-proton-exora-turbo-executive-1.6/cix2500
2022,Perodua Myvi AV 1.5,"RM
          52,900",RM 580,"32,927 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2022-perodua-myvi-av-1.5/cv06500
2018,Proton Saga Standard 1.3,"RM
          24,900",RM 299,"107,345 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",-,https://www.carsome.my/buy-car/proton/saga/2018-proton-saga-standard-1.3/cvm6500
2020,Perodua Aruz AV 1.5,"RM
          54,900",RM 590,"71,041 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",-,https://www.carsome.my/buy-car/perodua/aruz/2020-perodua-aruz-av-1.5/c1o6500
2021,Volkswagen Tiguan Allspace Highline 1.4,"RM
          93,800",RM 976,"58,496 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/volkswagen/tiguan/2021-volkswagen-tiguan-allspace-highline-1.4/cws6500
2019,Mazda CX-5 SKYACTIV-G GLS 2.0,"RM
          87,900",RM 953,"85,698 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",-,https://www.carsome.my/buy-car/mazda/cx-5/2019-mazda-cx-5-skyactiv-g-gls-2.0/c086500
2018,Perodua Myvi AV 1.5,"RM
          42,600",RM 511,"105,473 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",-,https://www.carsome.my/buy-car/perodua/myvi/2018-perodua-myvi-av-1.5/c5p7500
