Year,Model,Total_Price,Price_per_month,Mileage,Transmission,Location,Highlight,URL
2018,Honda CR-V TC VTEC 1.5,"RM
          83,000",RM 996,"122,728 km",Automatic,"CARSOME Showroom Kota Bharu, Kelantan 14,408.9 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/cr-v/2018-honda-cr-v-tc-vtec-1.5/cj2o400
2020,Honda Civic S i-VTEC 1.8,"RM
          80,000",RM 866,"57,065 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",Upgrade Daily Drive,https://www.carsome.my/buy-car/honda/civic/2020-honda-civic-s-i-vtec-1.8/ccfo400
2020,Proton Saga Premium 1.3,"RM
          31,800",RM 327,"78,545 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2020-proton-saga-premium-1.3/cxnm400
2015,Perodua Myvi X 1.3,"RM
          26,000",RM 353,"116,061 km",Automatic,"CARSOME Showroom AEON BiG Kepong, Kuala Lumpur 14,735.7 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2015-perodua-myvi-x-1.3/c7yn400
2018,Perodua Bezza X Premium 1.3,"RM
          33,000",RM 396,"122,735 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/bezza/2018-perodua-bezza-x-premium-1.3/cgfo400
2016,Perodua Myvi SE 1.5,"RM
          32,400",RM 481,"44,023 km",Automatic,"CARSOME Showroom Kuching, Sarawak 14,543.4 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2016-perodua-myvi-se-1.5/c9ao400
2016,Toyota Vios G 1.5,"RM
          48,800",RM 636,"113,517 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",Daily Drive,https://www.carsome.my/buy-car/toyota/vios/2016-toyota-vios-g-1.5/cw8n400
2018,Perodua Alza EZ 1.5,"RM
          43,400",RM 514,"81,809 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Family Drive,https://www.carsome.my/buy-car/perodua/alza/2018-perodua-alza-ez-1.5/cg9n400
2018,Proton Saga Executive 1.3,"RM
          26,600",RM 304,"96,771 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2018-proton-saga-executive-1.3/cwwn400
2016,Perodua Myvi Advance 1.5,"RM
          32,800",RM 469,"151,736 km",Automatic,"CARSOME Showroom Kuching, Sarawak 14,543.4 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2016-perodua-myvi-advance-1.5/cwzo400
2017,Honda BR-V V i-VTEC 1.5,"RM
          45,000",RM 584,"126,534 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",Family Drive,https://www.carsome.my/buy-car/honda/br-v/2017-honda-br-v-v-i-vtec-1.5/cmfo400
